"","region","state","year","abundance","simpson","richness","evenness","encs"
"456","central_west","michoacan",1991,1.78619301755611,0.66506713816828,67,0.424809416345596,5.96669407388211
"457","central_west","michoacan",1992,1.77947756938743,0.66202796381894,71,0.417455126989866,5.92675928915799
"458","central_west","michoacan",1993,1.64455329269039,0.585805484909647,74,0.382093034626041,5.17869602880355
"459","central_west","michoacan",1994,1.6208183819686,0.602812551105594,70,0.381504106660305,5.05722736717755
"460","central_west","michoacan",1995,1.67937644627482,0.631877421336105,74,0.390183793671346,5.36221130160744
"461","central_west","michoacan",1996,1.7819105095829,0.669269134722203,83,0.403252949753132,5.94119629512622
"462","central_west","michoacan",1997,1.85871495583663,0.686424652055325,78,0.42663281614093,6.4154872875947
"463","central_west","michoacan",1998,1.85997749583582,0.68861387139257,80,0.42445599967793,6.42359221222876
"464","central_west","michoacan",1999,2.00009922246203,0.716522886122807,84,0.451406436615517,7.38978929564306
"465","central_west","michoacan",2000,1.94984002736381,0.701487104136684,81,0.443705219638422,7.02756327283973
"466","central_west","michoacan",2001,1.9037993728925,0.690884604087392,83,0.430836851081126,6.71134496578456
"467","central_west","michoacan",2002,1.89133002836033,0.679221744814033,86,0.424603180347231,6.62817848646318
"468","central_west","michoacan",2003,1.90200578063608,0.683490037140133,84,0.429267529438953,6.69931833808105
"469","central_west","michoacan",2004,1.98508064599528,0.707493950291746,88,0.44336191987527,7.27963443514581
"470","central_west","michoacan",2005,1.9457602352372,0.690731298744751,83,0.44033274968192,6.99895068192883
"471","central_west","michoacan",2006,2.04670003387136,0.72557237844152,84,0.46192386794364,7.74230954463254
"472","central_west","michoacan",2007,1.94793350056721,0.691966478467241,85,0.438461942679262,7.01417779908195
"473","central_west","michoacan",2008,1.98168206590147,0.701254165002956,84,0.447249831322025,7.25493600802859
"474","central_west","michoacan",2009,2.12570421935739,0.747485380353308,83,0.481054739925853,8.37879592126749
"475","central_west","michoacan",2010,1.94160793322881,0.693372016870124,85,0.437038115560454,6.96994917812625
"476","central_west","michoacan",2011,2.04378611829229,0.72665926686459,84,0.461266220446269,7.71978194593285
"477","central_west","michoacan",2012,1.94938859187299,0.701317362415942,85,0.438789470369771,7.02439149734421
"478","central_west","michoacan",2013,2.01040474343734,0.716591684717825,84,0.453732310476516,7.46633868742884
"479","central_west","michoacan",2014,2.03699880195288,0.722999250297738,84,0.459734377301416,7.667562758335
"480","central_west","michoacan",2015,2.09635281771377,0.738124943050024,92,0.463611418798768,8.1364406492921
"481","central_west","michoacan",2016,2.03008136105111,0.701801088237629,88,0.453412697138733,7.61470587405122
"482","central_west","queretaro",1980,1.39409958314524,0.571605938659789,49,0.358212732438349,4.0313430487065
"483","central_west","queretaro",1981,1.31309492381903,0.526969908276469,43,0.349115942632288,3.71766180572676
"484","central_west","queretaro",1982,1.6064578083048,0.634812996535066,46,0.419589520652925,4.98512165986619
"485","central_west","queretaro",1983,1.29525003267003,0.575747217115038,44,0.342279367043477,3.65190895654591
"486","central_west","queretaro",1984,1.37487133379562,0.606231617364428,47,0.357095746974731,3.95456787094734
"487","central_west","queretaro",1985,1.35605276454339,0.60121699247,45,0.356231414838463,3.88084442219825
"488","central_west","queretaro",1986,1.45078207627566,0.62020660666622,40,0.393285303659817,4.26644989998421
"489","central_west","queretaro",1987,1.46850962342025,0.632467574579295,42,0.392894443167695,4.34275797077908
"490","central_west","queretaro",1988,1.40014014972917,0.637358141458496,40,0.379557035448175,4.05576834184962
"491","central_west","queretaro",1989,1.25802993674883,0.576568344187621,32,0.362990710207479,3.51848302090124
"492","central_west","queretaro",1990,1.21147100602318,0.548420308867226,34,0.343547121051964,3.35842127868476
"493","central_west","queretaro",1991,1.3887421256608,0.595989151447563,35,0.390606517742465,4.0098030510494
"494","central_west","queretaro",1992,1.21009210554706,0.52776189183084,35,0.340358267212837,3.35379354131246
"495","central_west","queretaro",1993,1.14542201284208,0.484181255341,32,0.330498931530464,3.14376778731289
"496","central_west","queretaro",1994,0.944663085564033,0.4167004133158,31,0.275092197294796,2.57194670662538
"497","central_west","queretaro",1995,0.9656147490889,0.428821793732869,38,0.265454811704455,2.62640173837181
"498","central_west","queretaro",1996,1.07289903019131,0.463315118371979,34,0.304251089104989,2.92384353598661
"499","central_west","queretaro",1997,1.20466628654561,0.50318614730993,35,0.338832166558948,3.33564574244689
"500","central_west","queretaro",1998,1.09330523387874,0.47747625911764,35,0.307510042609086,2.98412100824061
"501","central_west","queretaro",1999,1.47630299730209,0.599464942039693,40,0.400203643319296,4.37673493293796
"502","central_west","queretaro",2000,1.28117261095604,0.523881361452733,44,0.338559304605852,3.60085965840261
"503","central_west","queretaro",2001,1.06686889383021,0.449550289291901,40,0.289212186817439,2.90626541326998
"504","central_west","queretaro",2002,1.08648760571919,0.450783143606729,38,0.298683675935503,2.96384557454072
"505","central_west","queretaro",2003,1.07374381229972,0.468993999332741,41,0.289140426794689,2.92631459029788
"506","central_west","queretaro",2004,0.99349497703648,0.401539603266494,43,0.264143078399667,2.70065673072727
"507","central_west","queretaro",2005,1.12538657888871,0.447409883178465,43,0.299209439612918,3.08140782591293
"508","central_west","queretaro",2006,1.18354146570348,0.467547847728167,42,0.316652242326076,3.26591988977541
"509","central_west","queretaro",2007,0.867767559819134,0.342861466040523,41,0.233674624925013,2.38158816133328
"510","central_west","queretaro",2008,0.933017887509023,0.380313252364435,45,0.245101290176455,2.54216959453072
"511","central_west","queretaro",2009,0.975404317461095,0.361114607866892,39,0.266244821754687,2.65223934090411
"512","central_west","queretaro",2010,0.94454327156126,0.357416632683703,43,0.251128161891776,2.57163856985545
"513","central_west","queretaro",2011,1.43365905656013,0.540040154982234,42,0.383570299939613,4.19401729642888
"514","central_west","queretaro",2012,0.934738136503491,0.355820937946039,44,0.247011441531707,2.54654652284337
"515","central_west","queretaro",2013,0.903350713319551,0.338346190881878,42,0.241688219017721,2.4678583588228
"516","central_west","queretaro",2014,0.921429484704509,0.344325511734441,43,0.244982839615434,2.51287994716521
"517","central_west","queretaro",2015,0.917580058481975,0.337092104253081,41,0.247088259497897,2.50322539536677
"518","central_west","queretaro",2016,0.855292168828916,0.31013338776443,41,0.230315220350083,2.35206147924354
"519","north_east","chihuahua",1980,1.66592905141291,0.680071603695656,35,0.468569890373833,5.29058619379708
"520","north_east","chihuahua",1981,1.5596004712713,0.678062323571127,38,0.428745987803245,4.75692033909426
