"","region","crop_group","FAO_crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"50","central","Fruits","Watermelons",5257,3488,4278,2987,3453,5825,4667,4738,8596,8530,5156,5980,16241,4298,7024,6661,6028.5,6560,5237,5226.5,7178.75,7636,7593.25,7942.35,8184,8919.3,8320.55,8275.5,7814.25,8549.25,8794.5,8591,8406.75,6524,6234.65,6977,7444.95
"51","central","Live plants","live plants",NA,NA,NA,4,58,71,5349,2700,2410,7680,9868,5210,834,608,737,681,630,554,476,479.5,433.5,432.5,577,509.7,620.8,625,668,825.3,650,668.05,628.65,621.5,867.2,848.88,843.43,898,820.7
"52","central","Nuts","Almonds, with shell",2,NA,6,6,NA,NA,NA,21,21,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","central","Nuts","Cashew nuts, with shell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,11,111,111,111,29.5,16,17.5,26,18,32,26,32,43,43,41,41,20,18
"54","central","Nuts","Nuts, nes",2400,1200,NA,NA,NA,1200,831,700,440,440,440,441,441,441,431,755,880,880,1210,1205,1205,1208,1257,757,813,1441,1485,1361,1312.86,1312.86,1171.86,1081.86,1957.86,2117.86,2106.36,1898,1913.8
"55","central","Nuts","Walnuts, with shell",1432,1319,1475,995,972,685,626,405,537,301,270,841,808,791,760,721,964,873,866,872,857,816,860,778,742,726.95,762.95,760.95,733.95,835.95,794.7,1020.95,1004.95,1035.25,1031.85,1153,1177.5
"56","central","Oils","Coconuts",2381,68500,72300,86700,75461,73166,489,527,527,2205,NA,591,596,2194,382,382,627,617,382,582,583,558,538,468,554,714,749,767.5,754.58,772,772,771,339,339,338.5,341,341
"57","central","Oils","Groundnuts, with shell",30795,30697,15680,36236,38898,39804,37799,36139,36204,37967,35583,36689,38095,32856,32510,32921,31331,30840,31497,31221.2,27881,26808.5,22225,6872.1,19436.25,9517.55,15710.3,11808.45,11696,10341.2,11386.05,12586.3,10742.45,10073,11261.71,10744,11693.53
"58","central","Oils","Linseed",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,8
"59","central","Oils","Oilseeds nes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,30,30,30,336,460,468,390
"60","central","Oils","Olives",23,12,7,NA,3,NA,3,NA,NA,NA,NA,7,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,58.2,58.7,58.7,59,58.7
"61","central","Oils","Rapeseed",NA,NA,NA,NA,NA,2,28,7,4,50,70,211,549,621,1801,971,1135,599,NA,NA,NA,67,387,986,559,1566,2094,1704.5,1449,2015.61,1912.96,1461.17,1622,1711.5,429,684,323.1
